timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
21913392,21913106,0.99998313,-0.00041774227,-0.0044381246,-0.0037437682,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21965010,21964724,0.9999864,-0.0006264036,-0.0036888763,-0.003651776,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22012900,22012608,0.9999882,-0.0002212623,-0.002983221,-0.0038424719,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22065876,22065580,0.9999904,0.00020895262,-0.0029406422,-0.0032376663,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22109885,22109592,0.9999881,-0.00035193257,-0.003533414,-0.003376344,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22161798,22161332,0.9999883,-0.00023637785,-0.0041735973,-0.0024616963,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22213553,22213264,0.9999872,-0.00025206848,-0.004425992,-0.002468567,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22265465,22265175,0.9999873,-0.00028845927,-0.0042313095,-0.002758084,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22313092,22312804,0.99998254,-3.8630704e-05,-0.0051249904,-0.0029422275,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22361404,22361110,0.999985,0.00010258564,-0.004757637,-0.002729372,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22412970,22412684,0.99998635,-2.9495037e-05,-0.004340614,-0.0029084105,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22465889,22465595,0.9999842,0.00013449938,-0.004275638,-0.00366784,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22513596,22513309,0.9999833,0.00018178481,-0.004339354,-0.003804633,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22562108,22561814,0.9999823,0.0012146432,-0.004939117,-0.0030906994,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22613428,22613142,0.9999807,0.00095996616,-0.005115296,-0.0034187369,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22665320,22665026,0.9999787,0.00033210398,-0.0052536894,-0.0038616722,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22713160,22712870,0.99997604,-0.00045310255,-0.0056849257,-0.003951879,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22763090,22762807,0.9999792,2.7771444e-05,-0.0051832097,-0.003840113,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22809647,22809297,0.9999785,0.000388004,-0.005435844,-0.0036637369,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22849352,22849059,0.99997246,-0.00023823645,-0.0069566644,-0.0025795812,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22904952,22904652,0.99996376,-0.0022460443,-0.007550265,-0.0032516608,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
22965490,22965200,0.9999611,-0.0022892389,-0.007809432,-0.0034224102,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23012996,23012710,0.9999618,-0.0026534,-0.008063747,-0.0021209032,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23062069,23061783,0.9999616,-0.0018505435,-0.008292496,-0.002143953,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23113327,23113036,0.9999617,-0.0022193782,-0.008466225,-0.00031478706,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23165347,23165059,0.99996126,-0.0020151895,-0.008574983,0.00021359864,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23213245,23212955,0.9999498,-0.002324053,-0.009690104,0.0010295616,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23261149,23260860,0.99995,-0.0029276083,-0.009482449,0.0012611427,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23313844,23313550,0.99995595,-0.0029035942,-0.008826219,0.0013681633,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23357720,23357421,0.9999629,-0.0028646574,-0.008043603,0.0011444134,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23413602,23413310,0.999957,-0.0030856426,-0.008721176,0.00066296343,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23461596,23461312,0.9999604,-0.0034823648,-0.008188816,0.0003031509,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23505327,23505029,0.9999581,-0.0035757278,-0.008416888,-0.00032381454,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23559083,23558799,0.9999647,-0.00260063,-0.007768112,-0.001908968,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23613186,23612900,0.9999654,-0.0014877314,-0.00808121,-0.0012984315,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23665041,23664750,0.9999698,-0.001754087,-0.007537063,-0.00080048124,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23713789,23713490,0.99997425,-0.0018547493,-0.006935289,-0.00019403976,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23761618,23761329,0.9999756,-0.0017740716,-0.006736256,-0.000629865,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23813503,23813209,0.9999741,-0.0019841471,-0.0069198846,-0.00048763028,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23865508,23865211,0.999978,-0.0018922768,-0.006361447,-0.00020869588,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
23913368,23913070,0.9999789,-0.0008646662,-0.006439032,-0.00029069802,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
