timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
18417746,18417116,17780904,40.154030399999996,116.25936779999999,-0.044985935,0.0047243168,1.1714472,-0.06964624,-0.04098093,0.0,-0.040690552,0.04259206,0.018691776,0.104311444,-0.11193452,-0.047630668,0.22411458,0.013027864,0.04179965,0.14323038,-0.0057171057,-0.10414876,50.7006,0.1,0.23382616,0.5896252,0.16652445,0.14320347,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18517607,18516998,17780904,40.154030399999996,116.25936779999999,-0.042247288,0.0129556265,1.1655161,-0.06964624,-0.04098093,0.0,-0.03616773,0.04843638,-0.0065871105,0.06284769,-0.11193452,-0.047630668,0.22411458,-0.07416041,0.21927598,-0.049435396,-0.0059614535,-0.10414876,50.7006,0.10615778,0.2251196,0.567884,0.16759236,0.13741286,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18621096,18620415,17780904,40.154030399999996,116.25936779999999,-0.039739706,0.020262038,1.1730751,-0.06964624,-0.04098093,0.0,-0.025518749,0.049383216,-0.017859114,0.053243272,-0.11193452,-0.047630668,0.22411458,-0.20732099,-0.0028782468,0.132309,-0.0057841777,-0.10414876,50.7006,0.10997796,0.2174816,0.555128,0.16681282,0.13245147,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18713923,18713307,17780904,40.154030399999996,116.25936779999999,-0.037226737,0.026173456,1.1802019,-0.06964624,-0.04098093,0.0,-0.013684472,0.050431527,-0.026173117,0.047727127,-0.11193452,-0.047630668,0.22411458,-0.02753707,0.19574733,0.3985403,-0.005415687,-0.10414876,50.7006,0.120129704,0.21052282,0.5496252,0.16614324,0.12816593,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18821193,18820498,17780904,40.154030399999996,116.25936779999999,-0.034866326,0.032859236,1.1963794,-0.06964624,-0.04098093,0.0,-0.009018813,0.04984373,-0.03032515,0.054076973,-0.11193452,-0.047630668,0.22411458,0.23208845,-0.2608507,-0.13258548,-0.003443424,-0.10414876,50.7006,0.14008117,0.20560287,0.5324261,0.17046061,0.12452149,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18910105,18909484,17780904,40.154030399999996,116.25936779999999,-0.031731218,0.03775112,1.2070321,-0.06964624,-0.04098093,0.0,-0.0024061599,0.04650809,-0.041015197,0.049272154,-0.11193452,-0.047630668,0.22411458,-0.28405267,0.418348,-0.5918541,-0.0013690144,-0.10414876,50.7006,0.11477375,0.20035844,0.5277629,0.17051654,0.121306784,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19017752,19017140,17780904,40.154030399999996,116.25936779999999,-0.028826855,0.042863127,1.2088491,-0.06964624,-0.04098093,0.0,-0.0015962438,0.05123569,-0.050399236,0.036738396,-0.11193452,-0.047630668,0.22411458,-0.13786396,0.14536011,-0.39707306,0.002278877,-0.10414876,50.7006,0.10920346,0.19694266,0.5183549,0.17292444,0.11872203,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19121331,19120734,17780904,40.154030399999996,116.25936779999999,-0.027091997,0.04725845,1.2054352,-0.06964624,-0.04098093,0.0,0.006417304,0.048554514,-0.053275347,0.027025273,-0.11193452,-0.047630668,0.22411458,0.078731306,0.2224506,-0.06660241,0.0006708327,-0.10414876,50.7006,0.10320127,0.19346564,0.5091666,0.17383432,0.116304696,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19225308,19224581,17780904,40.154030399999996,116.25936779999999,-0.024335172,0.050352883,1.2036194,-0.06964624,-0.04098093,0.0,0.008599712,0.046998437,-0.053603463,0.02239422,-0.11193452,-0.047630668,0.22411458,-0.023538632,0.004428992,-0.1771375,-8.815667e-05,-0.10414876,50.7006,0.10350478,0.19052894,0.50058466,0.17484947,0.11421615,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19321989,19321255,17780904,40.154030399999996,116.25936779999999,-0.020634297,0.051353805,1.2118845,-0.06964624,-0.04098093,0.0,0.01313549,0.041285783,-0.05889078,0.022834983,-0.11193452,-0.047630668,0.22411458,0.043481197,-0.080607876,-0.006249449,-0.0025104524,-0.10414876,50.7006,0.1338985,0.18800512,0.492543,0.17591809,0.112404495,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
